females,males,hispanic,not hispanic,White Alone,Black or African American Alone,American Indian or Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Two or more races,Age: [0-10],Age: [11-20],Age: [21-30],Age: [31-40],Age: [41-50],Age: [51-60],Age: [61-70],Age: [71-80],Age: [81-84],Age: [85]+,GDP Per Year (Normalized),Personal income per capita (Normalized),Personal Consumption expenditure per capita (Normalized),Presidential Approval Rating,GOP/Total Senate Seats pre-election,GOP/Total House Seats pre-election,GOP Votes/Total Votes for Presidential Election,DNC Votes/Total Votes for Presidential Election,"1 = Voted GOP, 0 = Voted DNC"
0.5149688885,0.4850311115,0.03959121918,0.9604087808,0.6994414635,0.2654167634,0.006837723142,0.01264738463,0.00103409561,0.01462256967,0.1366323272,0.1357397175,0.1363456101,0.1248113868,0.1353579136,0.1384210837,0.1035106818,0.05805708208,0.01447921114,0.01664498603,0.05496730123,0.05786163522,0.06274015554,0.37,1,0.8571428571,0.6054582233,0.383590331,1
0.5156601436,0.4843398564,0.04222863047,0.9577713695,0.6931638092,0.2681506851,0.006924018273,0.01431279659,0.001012748403,0.01643594245,0.1339262423,0.1295759667,0.1371827043,0.1234333469,0.1259600676,0.1387073892,0.1139014397,0.06457259921,0.01473985669,0.0180003874,0.06177612419,0.1398921833,0.1587408933,0.41,1,0.8571428571,0.6208309236,0.3435794576,1
0.4786314606,0.5213685394,0.06182549494,0.9381745051,0.6740325618,0.03636326221,0.1499171723,0.05773864848,0.01185174007,0.07009661521,0.1585456616,0.1391986116,0.1616111452,0.1306887906,0.136255912,0.1454791147,0.08329692114,0.03110070001,0.00678535784,0.007037785224,0.005962550713,0.4563342318,0.4599920076,0.31,0.5,1,0.548015774,0.4081265911,1
0.4766580889,0.5233419111,0.07009181934,0.9299081807,0.6611666058,0.03724764263,0.1530803911,0.06312325923,0.01331016309,0.07207193813,0.1567292653,0.1306215183,0.1650565645,0.1399716105,0.1192251642,0.1354695641,0.09793133602,0.03930201386,0.007195705553,0.008497257854,0.002934129217,0.5164869721,0.5734222741,0.47,1,1,0.5128151208,0.3655087129,1
0.5028209095,0.4971790905,0.3012295388,0.6987704612,0.8415316395,0.04561732513,0.05321881067,0.03171698082,0.002564723263,0.02535052065,0.1480070074,0.1393038258,0.1399966635,0.1277875775,0.1278044013,0.124020406,0.1018512801,0.05907489565,0.01479155085,0.01736239189,0.0859724204,0.06343216532,0.111893271,0.44,1,0.625,0.5365453317,0.4458976694,1
0.5029067556,0.4970932444,0.3109018319,0.6890981681,0.8314052294,0.04923582501,0.05344127134,0.03560383052,0.0026508421,0.02766300166,0.1403193141,0.1341114393,0.1411177727,0.1274584842,0.1204486849,0.1237947304,0.1098939836,0.06843392362,0.015153817,0.01926785,0.1030843579,0.1683063792,0.2216040085,0.5,1,0.5555555556,0.4867161647,4.54E-01,1.00E+00
0.5087938881,0.4912061119,0.06744611749,0.9325538825,0.7995649766,0.1559985661,0.009256321935,0.01449738316,0.002598968749,0.01808378347,0.1445701833,0.1358397502,0.1355630113,0.124876136,0.1302703374,0.1322574246,0.1036225886,0.05992568627,0.01482913028,0.01824575212,0.02498125375,0.06583557951,0.04325105284,0.37,0.5,0.75,0.6056693608,0.368789903,1
0.5086978974,0.4913021026,0.07337592536,0.9266240746,0.7931264925,0.1572312944,0.009746479728,0.01616881785,0.0033107324,0.02041618313,0.1412155929,0.1328282198,0.1356723119,0.1255986476,0.1210857801,0.1323967787,0.1108364552,0.0657969513,0.01520704271,0.01936221972,0.02934517189,0.1589622642,0.1445390551,0.38,1,1,0.6057410216,0.3365312413,1
0.5033115145,0.4966884855,0.3812062569,0.6187937431,0.7368675128,0.06614989315,0.01661746719,0.1394346112,0.004939717663,0.035990798,0.1440553768,0.1400956687,0.150574005,0.1362404816,0.1390070701,0.1280861885,0.08627747672,0.0459814442,0.01259942617,0.01708286225,0.7995438977,0.3482704403,0.307153177,0.54,0,0.3653846154,0.3712037852,0.6023895914,0
0.503120896,0.496879104,0.3882269149,0.6117730851,0.7266165352,0.06492603753,0.01640432733,0.1487777927,0.005011662796,0.03826364445,0.1393121573,0.1308446731,0.1518588693,0.1389621839,0.1303121381,0.1292232949,0.09681134164,0.05179553321,0.01252188933,0.01835791925,1,0.555705301,0.4857827918,0.61,0,0.2641509434,0.3161710654,0.617263996,0
0.4986753384,0.5013246616,0.2096202573,0.7903797427,0.8811403262,0.04351933861,0.01561825694,0.0303666446,0.001774108558,0.02758132506,0.1446016259,0.1322295937,0.1458607641,0.1390966374,0.1382688616,0.137355161,0.09263847286,0.04396112795,0.01139036393,0.01459739147,0.0880741987,0.2776504942,0.280255756,0.46,0,0.5714285714,0.4612709164,0.5149222655,0
0.4968989288,0.5031010712,0.213533145,0.786466855,0.87387311,0.0452709271,0.01589399779,0.03329685756,0.001876983045,0.02978812452,0.1355684984,0.1288143185,0.1494258402,0.1443622753,0.1289422741,0.1319885935,0.1043096542,0.05010156585,0.011119645,0.01536733491,0.1086760155,0.4305256065,0.440810304,0.51,0.5,0.5714285714,0.4325139737,0.4815698038,0
0.512807038,0.487192962,0.1422590941,0.8577409059,0.8187184358,0.1121946046,0.004953418328,0.04224690802,0.001007073345,0.02087955996,0.1254065539,0.139193257,0.1233281586,0.1180176794,0.1501060521,0.1486396217,0.1005426015,0.05349808864,0.01656249604,0.02470549097,0.07686125312,0.7099281222,0.5240232394,0.56,0,0,0.4074511425,0.5808501326,0
0.5122520325,0.4877479675,0.1563647156,0.8436352844,0.8064797485,0.1172819379,0.005344933576,0.0467304387,0.001040482643,0.02312245873,0.1184799209,0.1340707805,0.1280115651,0.1198282644,0.1321379356,0.1524545072,0.1119493244,0.06185803712,0.01547843932,0.02573122536,0.08546999737,0.8223495058,0.6967815315,0.61,0,0,0.4092691438,0.545663011,0
0.5156827244,0.4843172756,0.08508062357,0.9149193764,0.7127578338,0.2216161861,0.006452788937,0.03474039677,0.0007970190611,0.02363577543,0.1334486894,0.1316975466,0.1353465363,0.1190777132,0.1385641724,0.139352433,0.1088566006,0.06004575196,0.01521999861,0.01839055795,0.007540757733,0.2418912848,0.3310995666,0.56,0,0,0.3998260407,0.5861074198,0
0.5163559453,0.4836440547,0.0900991758,0.9099008242,0.700347494,0.2270593495,0.006391398744,0.0395044185,0.0009702172854,0.0257271219,0.1281726712,0.1237085104,0.1348939861,0.1205698205,0.1219401601,0.1423727883,0.1224849176,0.07021987193,0.0154643556,0.02017291827,0.01036210897,0.348787062,0.4600842274,0.62,0,0,0.4192282434,0.5335333681,0
0.511084826,0.488915174,0.2335014283,0.7664985717,0.7817274776,0.1671505692,0.00484185906,0.02634722061,0.001045625579,0.01888724801,0.122107976,0.1216092141,0.1313217986,0.1203543077,0.1377735784,0.1359682908,0.1137253323,0.0725438309,0.01996713937,0.02462853197,0.2764035305,0.175359389,0.2366050844,0.48,0.5,0.76,0.07278291418,0.9091311393,0
0.5109870111,0.4890129889,0.2512819162,0.7487180838,0.7758927288,0.1687784178,0.004939616193,0.02830410286,0.001112689496,0.02097244483,0.1199466932,0.1146222312,0.1312527422,0.1222288901,0.1261179812,0.1382982689,0.1210549597,0.08059229512,0.0194226603,0.02646327806,0.3421450272,0.2867250674,0.3685407765,0.5,0.5,1,0.04070383108,0.9048388387,0
0.5117644623,0.4882355377,0.08951111102,0.910488889,0.6259608181,0.3136095607,0.005020261534,0.0358416217,0.001102403495,0.01846533443,0.1507958718,0.1426028485,0.1404428662,0.136274071,0.1442394042,0.1284203441,0.08981547895,0.04451767381,0.01043868349,0.01245275798,0.1527255337,0.08863432165,0.1071900649,0.46,1,0.6153846154,0.4913097776,0.5000786507,0
0.5132002963,0.4867997037,0.09401003117,0.9059899688,0.611426561,0.3207894439,0.005128655061,0.04083349178,0.001151251346,0.02067059686,0.1443184095,0.1385632468,0.1416737356,0.1330027388,0.1353772007,0.1318211478,0.09894995112,0.05180387953,0.0109748609,0.01351482924,0.1898970407,0.2153638814,0.2317481787,0.49,1,0.7142857143,0.4902194142,0.4782331581,1
0.498589766,0.501410234,0.09513236268,0.9048676373,0.2565777826,0.01901959304,0.003776797983,0.385257071,0.102640799,0.2327279563,0.1375935792,0.1188651023,0.1462476052,0.1281040514,0.1309861557,0.1365300991,0.1058866641,0.05439478767,0.01684635575,0.02454559951,0.0120328586,0.2576370171,0.3457010236,0.64,0,0,0.5332924218,0.4550795967,1
0.4975226943,0.5024773057,0.1040881673,0.8959118327,0.2597628958,0.02154734487,0.00389571172,0.3769481407,0.1017301636,0.2361157434,0.1353889516,0.1124470513,0.1453071729,0.1339158791,0.1203120846,0.1295813126,0.1164128676,0.06284735726,0.01569851944,0.02808880358,0.01668212593,0.401212938,0.5003842489,0.57,0,0,0.5077132605,0.4563998336,1
0.4992860384,0.5007139616,0.11633875,0.88366125,0.9385455381,0.007441994417,0.01696221372,0.01353770155,0.001832359251,0.02168019294,0.1621571911,0.1452103833,0.136266785,0.1259781569,0.1233736161,0.1290178359,0.09733575342,0.05159342627,0.01260643042,0.01646042145,0.00598636151,0.04227313567,0.06842703882,0.34,1,1,0.2768214769,0.7014793245,0
0.4991048396,0.5008951604,0.123974964,0.876025036,0.9328391222,0.008632994015,0.01757303167,0.01518703429,0.002062856305,0.02370496147,0.1537471844,0.1439372892,0.1340451181,0.1291664033,0.1163689436,0.1246519675,0.1089504116,0.05953665624,0.01291789236,0.0166781336,0.01028272697,0.1630503145,0.201715287,0.32,1,1,0.2943970717,0.6098079806,0
0.5094089583,0.4905910417,0.1620933343,0.8379066657,0.7777877625,0.1479170039,0.005770653144,0.0504701464,0.0006000172178,0.01745441684,0.1401457617,0.1376566472,0.1397543734,0.1323273709,0.1379882439,0.1362648282,0.09225365868,0.05008369859,0.01417462874,0.01935078868,0.258206376,0.2862084456,0.2908917648,0.52,0.5,0.5789473684,0.645297835,0.3262233356,1
0.5088096613,0.4911903387,0.1692961608,0.8307038392,0.7715051953,0.1468921417,0.005811138999,0.05583746603,0.0006427462447,0.0193113117,0.1345400708,0.1312103685,0.1396925551,0.1336164064,0.1283438078,0.1373247443,0.1046021436,0.05635114708,0.01367575141,0.020643005,0.2898002609,0.4292228212,0.441486582,0.59,0.5,0.4444444444,0.5926143237,0.2749201382,1
0.5076394569,0.4923605431,0.06247989546,0.9375201045,0.8645573872,0.09456854439,0.003857271005,0.0186312339,0.0005730776347,0.01781248584,0.1437936436,0.1423221514,0.133813091,0.1253932816,0.1353605693,0.138036414,0.09606464966,0.05215941925,0.01434488309,0.01871189722,0.09728745573,0.1353324349,0.1489041222,0.41,1,0.6666666667,0.4073274127,0.5760213536,0
0.5070883095,0.4929116905,0.06768095041,0.9323190496,0.8555397086,0.09715585641,0.004004760167,0.02266719641,0.0006263576671,0.02000612078,0.1402468083,0.1376380551,0.1369269238,0.1252269555,0.1245798955,0.1367699188,0.1075124424,0.05784356389,0.01368980615,0.0195656304,0.1122742225,0.2327942498,0.2547416311,0.43,0.5,0.7777777778,0.3876175307,0.558253667,0
0.5040387622,0.4959612378,0.0528679958,0.9471320042,0.9260914798,0.03176704536,0.004707737984,0.02060152818,0.0008839843116,0.01594822433,0.1410674518,0.138853987,0.1329288149,0.1189913941,0.1283081063,0.1403168637,0.09841952764,0.05834329052,0.01749356712,0.02527699683,0.04404502994,0.2155660377,0.182318404,0.5,0.5,0.4,0.5412553238,0.439273029,1
0.5027229287,0.4972770713,0.05867238344,0.9413276166,0.9132521409,0.03722966442,0.005165876906,0.02508906919,0.001176435366,0.01808681318,0.1396789651,0.1359170296,0.133695123,0.1245394843,0.1159339589,0.1358731614,0.1113117911,0.06132193359,0.01625843922,0.02547011385,0.05245153457,0.2973719677,0.2887092312,0.44,1,0.75,0.5694003345,0.3777483969,1
0.5030470423,0.4969529577,0.1093864429,0.8906135571,0.8722898128,0.0617388888,0.01170977078,0.02640137959,0.0009711219813,0.02688902603,0.1526599236,0.1419930489,0.1396441432,0.1231055258,0.12680858,0.1352209155,0.09217073743,0.05157721297,0.01536034135,0.02145957131,0.0375505019,0.2653189578,0.1583412745,0.38,1,1,0.4617786851,0.5198801653,0
0.5017778349,0.4982221651,0.117059176,0.882940824,0.8656980131,0.06187137448,0.0117873367,0.03069420134,0.001126130393,0.02882294399,0.1479502463,0.1390827876,0.1396722061,0.1284019455,0.1147364617,0.1320724623,0.105140756,0.05606124441,0.01458147669,0.02230041328,0.04457533367,0.3163072776,0.2695890074,0.41,1,1,0.5116206134,0.4175251345,1
0.5076516992,0.4923483008,0.03253414117,0.9674658588,0.886290923,0.08074682349,0.002840343971,0.01276051844,0.000763231009,0.01659816007,0.1386600907,0.1321701699,0.1340200736,0.1282324099,0.138787353,0.1400301464,0.1021682652,0.05527241707,0.01388993576,0.01676913845,0.05107587147,0.05494159928,0.07847898927,0.39,1,0.6666666667,0.5971132037,0.3799457055,1
0.5074181275,0.4925818725,0.03567001083,0.9643299892,0.8791914986,0.08302061803,0.002978301927,0.01521138794,0.0008374215143,0.01876077203,0.1357739942,0.1290033498,0.1359853263,0.1257840096,0.1274321961,0.1398701759,0.1131316481,0.06127002303,0.01387788397,0.01787139288,0.05849947704,0.1447888589,0.1913251975,0.38,1,0.8333333333,0.5665458181,0.3605237073,1
0.5106903498,0.4893096502,0.04523022527,0.9547697747,0.6360497575,0.3247643412,0.007479980746,0.01666125373,0.0006038248263,0.01444084199,0.1465805997,0.135354967,0.1499380007,0.1264691828,0.1309115305,0.1364657173,0.09469641253,0.05094948895,0.01321098169,0.01542311887,0.07281676481,0.1627583109,0.1122928899,0.42,0.5,0.8571428571,0.604931416,0.3780132783,1
0.5109412191,0.4890587809,0.05036708004,0.94963292,0.6309740271,0.3265253936,0.007701230218,0.01775465631,0.0006217267255,0.01642296607,0.1448398395,0.1289989793,0.1465386119,0.1332229945,0.1188515339,0.1345253439,0.1065853346,0.05655742866,0.01305411957,0.01682581415,0.06898585099,0.2070979335,0.2109372598,0.43,1,0.8333333333,0.6251963855,0.3268218833,1
0.5103714689,0.4896285311,0.01373247101,0.986267529,0.9530849074,0.01337045419,0.006744855972,0.01097850606,0.0003087115144,0.0155125649,0.1141323074,0.123735198,0.1149229561,0.1122124841,0.1456129565,0.1620946793,0.1216172407,0.06441277069,0.01795583916,0.02330356796,0.004117442154,0.1567610063,0.3436721896,0.5,1,0,0.5778457573,0.4057746362,1
0.5103457704,0.4896542296,0.01598417206,0.9840158279,0.9477051812,0.01553421006,0.007041844022,0.01230497319,0.0003530331209,0.01706075839,0.1096181013,0.116523512,0.1176353029,0.1135419252,0.1277912152,0.1598916361,0.1383716705,0.07393296398,0.01793242652,0.0247612463,0.006737238421,0.2588499551,0.477206357,0.53,0.5,0.5,0.5808868465,0.384495661,1
0.5156086504,0.4843913496,0.08681564371,0.9131843563,0.6064397486,0.3020065799,0.005423614263,0.05984743522,0.0009615323671,0.02532108966,0.1360950717,0.1328474966,0.1377490827,0.1282574599,0.1479684481,0.1419606999,0.09571866696,0.04838595579,0.01307265444,0.01794446381,0.1112618072,0.4546046721,0.3733054625,0.58,0,0.25,0.4032739204,0.5537103419,0
0.5152876165,0.4847123835,0.09780383298,0.902196167,0.5932712064,0.3072882166,0.005798624401,0.06480600562,0.001076198526,0.02775974844,0.1345176411,0.126467843,0.1358673109,0.1322294262,0.1323934422,0.1447019831,0.1060417618,0.05574541514,0.01288368146,0.01915149505,0.1314457178,0.5773360288,0.5086840245,0.6,0,0.125,0.4347667808,0.463452141,0
0.5154972869,0.4845027131,0.1027548381,0.8972451619,0.8339952117,0.08048654574,0.004676479288,0.05928989506,0.0009387247142,0.02061314349,0.1222379516,0.1341150675,0.1411213647,0.1236746501,0.1456888124,0.1424914035,0.09917246123,0.05254647689,0.01592072303,0.02303108902,0.1530724639,0.5396451033,0.5699794043,0.56,0.5,0,0.3589773234,0.6197419078,0
0.5148441997,0.4851558003,0.1150532094,0.8849467906,0.8168391309,0.08658926287,0.004781857135,0.06711603584,0.001023152383,0.02365056086,0.1173252054,0.128670516,0.1446829683,0.1273055297,0.1298854361,0.1447653432,0.1103869533,0.05875035548,0.01481162848,0.02341606397,0.1814724688,0.7281446541,0.7365282346,0.62,0,0,3.33E-01,6.10E-01,0.00E+00
0.5090644827,0.4909355173,0.04629981677,0.9537001832,0.8006939372,0.1432519319,0.00707772945,0.02694415381,0.0003669273793,0.02166532026,0.1322242403,0.1401211017,0.1293998158,0.1175460567,0.1392131995,0.1469264706,0.1034486137,0.0549273277,0.01560717103,0.02058600297,0.1432834496,0.1291778976,0.2101072823,0.51,0,0.6666666667,0.3731912232,0.6033830832,0
0.5079063302,0.4920936698,0.04993964668,0.9500603533,0.7953064954,0.1418507416,0.007260716833,0.03150859066,0.0003973757091,0.02367607978,0.1279720979,0.1319145362,0.1363773091,0.1177809114,0.1254240999,0.1452129268,0.1168749834,0.06233400929,0.01464167355,0.0214674523,0.1699927358,0.2544699012,0.3424425932,0.51,0,0.6428571429,0.3228620279,0.590500651,0
0.5032448686,0.4967551314,0.04891565239,0.9510843476,0.8637974385,0.05606480742,0.01314934235,0.04421328398,0.0005824430793,0.02219268472,0.143028416,0.1344983003,0.1353900497,0.1262734359,0.1376696693,0.1426144693,0.09403230294,0.05097868476,0.0145575346,0.02095713725,0.0967003256,0.3268418688,0.3560603732,0.5,0,0.5,0.4471091603,0.5420820421,0
0.5022653594,0.4977346406,0.05278698415,0.9472130158,0.8480495209,0.06409075985,0.01359571915,0.04928572971,0.0006758928583,0.02430237748,0.1405149309,0.1301052008,0.133440017,0.1331861034,0.1215714182,0.1415071721,0.1072624179,0.05669895307,0.01404746387,0.02166632273,0.1139779116,0.4441823899,0.4794196305,0.52,0,0.375,0.4749756422,0.4727453095,1
0.514135255,0.485864745,0.02821822793,0.9717817721,0.5992649503,0.3740283102,0.00576853219,0.009466274801,0.0005536206252,0.01091831192,0.1492543076,0.1427837616,0.1385612713,0.1254838725,0.1306403668,0.1331489498,0.09663583983,0.05406714757,0.01354809382,0.01587638917,0.02189935305,0,0,0.44,1,0.75,0.5528584674,0.4378935954,1
0.5149665087,0.4850334913,0.0310953574,0.9689046426,0.5928326063,0.3776133428,0.006064011205,0.0104421408,0.0005802865496,0.0124676124,0.1440830383,0.1375634468,0.1392208337,0.1255815856,0.1220237686,0.1333093531,0.1078176432,0.05977923633,0.01353230915,0.01708878518,0.02451496531,0.05309973046,0.08195259906,0.44,1,0.75,0.5794103809,0.4011478827,1
0.5098736515,0.4901263485,0.03726200612,0.9627379939,0.8377963566,0.117689303,0.005278138919,0.01799269487,0.001309842362,0.01993366427,0.138788464,0.1349207518,0.1366422494,0.1226935597,0.1334115711,0.1402997246,0.1006744973,0.05717847942,0.01536818476,0.02002251791,0.08627431545,0.1532569632,0.2243398604,0.41,0.5,0.6666666667,0.5376374114,0.4438348355,1
